Variant_SKU,Product_Name,Pricing_Plan,Ships,Delivered,Delivered_%,Avg_Product_Margin
SI51181,Sugar Control LI4 Acupressure Point Clip,Delivery,6,1,16.67%,166
SI51382,"Bamboo Yarn Knee Brace for Men and Women - Knee Pain, Gym",Delivery,6,0,0.0%,100
SI34620,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,5,1,20.0%,100
SI33884,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,5,2,40.0%,90
SI29253,Super Maxx Power Saver Turbo Electricity Saving Device,Delivery,5,0,0.0%,90
SI34623,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,5,2,40.0%,100
SI54391,Stamina Booster Spray Oil 30ML Pack of 1,Delivery,5,0,0.0%,70
SI51316,hair oiling applicator oil applicator for scalp massager oil,Delivery,5,3,60.0%,100
SI34622,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,5,1,20.0%,100
SI54286,2 in 1 Glass Oil Dispenser Bottle,Delivery,5,1,20.0%,150
SI53291,Wine bottle lamp high foot table lamp,Dispatch,5,3,60.0%,10
SI36434,Mobile Phone 3D Screen Magnifier F3 3D Expander (Black) with USB Light,Delivery,4,0,0.0%,90
SI53943,All in One Fabric Stain Remover 50 ml (Pack of 2 Bottle 50ml Each),Delivery,4,0,0.0%,90
SI54392,Stamina Booster Massage Oil 30ML Pack 1,Delivery,4,0,0.0%,70
SI51312,Indoor Lighting Crystal Rose Diamond Lamp,Delivery,4,1,25.0%,90
SI36078,Men's and Women's Acupressure Massage Slippers Leg Foot Massager Paduka(Free Size),Delivery,4,0,0.0%,90
SI33883,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,4,4,100.0%,90
SI35957,Posture Belt - Real Doctor,Delivery,4,0,0.0%,90
SI43874,Usb Rechargeable Cordless Curling Iron Ceramic Rotating Wireless Hair Curler,Delivery,4,0,0.0%,90
SI51297,"Mobile Stand with Tabletop Grip and Stable Support, 360° Rotating Holder",Delivery,4,1,25.0%,143
SI53559,15 in 1 Multipurpose Vegetable and Fruit Cutter Greater Chopper and Slicer Dicer,Delivery,4,0,0.0%,130
SI52090,CASSIDY Cooling Oil 60ml (Pack of 2),Delivery,3,0,0.0%,100
SI51682,Fresh Sleeping Spray,Delivery,3,0,0.0%,100
SI54292,"Push Button Start Lever, Car Push to Start Button Rocker, Car Engine Start Stop Button Joystick",Delivery,3,0,0.0%,100
SI51214,Clover Bracelet,Delivery,3,0,0.0%,90
SI34621,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,3,0,0.0%,100
SI28856,"Pushup Board, Push Up Bar, Pushup Board for Men, Home Workout Equipment for Men",Delivery,3,1,33.33%,90
SI40740,Essential Iron Tadka Pan/Fry Pan with Steel Handle for Kitchen 12cm Diameter,Delivery,3,0,0.0%,90
SI43394,Adjustable Back Posture Corrector/ Slouching Relieve Pain Belt Women Men,Delivery,3,0,0.0%,90
SI36554,"Enlarge Oil Lift Up Massage Oil For Men, Pure And Natural Oil Pack of 2",Delivery,3,0,0.0%,90
SI29851,Starry Night Light Astronaut Projector,Delivery,3,0,0.0%,150
SI50286,"Hair Straightener Comb for Women & Men, Hair Styler",Delivery,3,0,0.0%,90
SI56006,Tooth Pain Relief Oil,Delivery,3,0,0.0%,110
SI53428,Rechargeable Electric Nail Clipper,Delivery,3,1,33.33%,100
SI53505,"Magnetic Mug, Self Stirring Coffee Mug Reusable Self Stirring Mug for Coffee/Milk/Tea",Delivery,3,0,0.0%,100
SI56026,Car Number Plate Frame ( Pack of 2 ),Delivery,3,0,0.0%,120
SI51232,Motion Sensor Light LED Sensor Lamp Wireless Intelligent Ultra Thin USB LED,Delivery,2,0,0.0%,90
SI53963,"Scalp Massager, Rechargeable Electric Head Kneading Massager",Delivery,2,0,0.0%,100
SI54314,Mini Portable Karaoke/Speaker with Wireless Mic,Delivery,2,0,0.0%,100
SI54312,"Lint Roller for Pet Hair, Portable Sticky Lint Roller Pet Hair Remover Tool",Delivery,2,0,0.0%,100
SI53563,"Heating pad for back pain, Period cramps, muscle pain. Electric heating pad cordless",Delivery,2,1,50.0%,100
SI55938,Brazilian Lucky Wood Hydroponic Potted Plant,Delivery,2,0,0.0%,100
SI56052,Rectangular Sunglasses (pack of 2),Dispatch,2,0,0.0%,14
SI54936,Chopping Board E88 Pro Drone,Delivery,2,0,0.0%,150
SI55702,4 in 1 Electric Vegetable Cutter Set Portable Wireless Masher,Delivery,2,1,50.0%,93
SI51773,"Anti-Slip Bowl Lifting Device, Anti-Hot Bowl Dish Plate Gripper",Delivery,2,0,0.0%,100
SI52090,CASSIDY Cooling Oil 60ml (Pack of 2),Dispatch,2,0,0.0%,10
SI44398,Adivasi Herbal Hair Oil For Faster Hair Growth (Pack of 2) - 125ml Each,Delivery,2,0,0.0%,90
SI36454,Roof Star Projector Light ,Dispatch,2,0,0.0%,15
SI40414,Men's Round Neck Printed T Shirt In Polycotton ( Pack of 1 ),Delivery,2,0,0.0%,90
SI38644,Smooth Hair Eraser,Dispatch,2,0,0.0%,10
SI20352,Creative Water Faucet Sprayer Spray Pack of 2,Delivery,2,1,50.0%,90
SI34625,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,2,1,50.0%,100
SI29845,Little Minions Cartoon Action Mini Figures Pack of 10,Delivery,2,0,0.0%,90
SI29202,"Fresh Juice Portable Blender 350ML  Grinder For Smoothie or Shakes, Mini Juicer",Delivery,2,0,0.0%,90
SI33882,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,2,1,50.0%,90
SI38816,Portable Mini Heat Sealing Machine Impulse Sealer Seal Packing Plastic Bag,Delivery,2,1,50.0%,90
SI28911,Hair Darkening Shampoo Soap,Delivery,1,0,0.0%,90
SI28356,women best flat hair straightener comb for smoothing treatment hair accessories for girls,Delivery,1,0,0.0%,90
SI28686,Magic Practice Copybook for Kids,Delivery,1,0,0.0%,90
SI28693,Multipurpose Double Sided Ivy Grip Tape (Pack Of 2 ),Delivery,1,0,0.0%,90
SI28249,Gfouk Remove Swelling Cream,Delivery,1,0,0.0%,90
SI20930,Whitening Spot Cream,Delivery,1,0,0.0%,90
SI28154,Lumin Care Fat Melting Miracle (Pack of 2),Delivery,1,0,0.0%,90
SI33561,"Crystal Lamp,16 Color Changing Rose Crystal Diamond Table Lamp,USB Rechargeable",Delivery,1,1,100.0%,90
SI29255,Womens Multicolor Air Bra Pack Of 3,Delivery,1,0,0.0%,90
SI34653,"DesireFusion Passion Elixir, Drops -Happy Hormones Drops for Women (Pack 1)",Delivery,1,0,0.0%,90
SI34624,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,1,0,0.0%,100
SI34626,Manual Spring Acupressure and Magnetic Therapy Paduka Slippers for Full Body Blood Circulation,Delivery,1,0,0.0%,100
SI35426,2-in-1 Ergonomic Contour Orthopedic Pillow for Neck Pain,Delivery,1,1,100.0%,200
SI36090,Light Blue Women Kurta Pant Dupatta Set,Delivery,1,0,0.0%,90
SI36108,Hand Sewing Machine For Home Tailoring Clothes,Delivery,1,0,0.0%,90
SI36139,Golden Trimmer,Delivery,1,0,0.0%,90
SI44274,Back Relief Spray(pack of 2),Delivery,1,1,100.0%,90
SI43735,"Strawberry Lip Scrub for Lightening & Brightening Dark Lips, Dry, Chapped Lips (Pack of 2)",Delivery,1,0,0.0%,90
SI43838,"CORUS New Premium Anti Theft Crossbody, Sling Backpack Waterproof Shoulder Bag",Delivery,1,0,0.0%,120
SI43934,Bee Venom Joint and Bone Therapy Cream (Pack of 2),Delivery,1,0,0.0%,90
SI43724,Crystal Ice Ball for Facials - Reduce Puffiness and Tighten Skin with Beauty Cooling Massage Tool,Delivery,1,1,100.0%,90
SI43219,"Turmeric Dark Spot Corrector Oil, Turmeric Repair Face Serum Turmeric Face Serum ( Pack of 1 )",Delivery,1,0,0.0%,90
SI43358,Glowing Necklace,Delivery,1,1,100.0%,90
SI43634,Mini Refillable Perfume Portable Atomizer Bottle Refillable Perfume Spray (5ml - pack of 6 ),Delivery,1,0,0.0%,90
SI43295,"Automatic Smart Teasing Pet Ball, Smart Self Teasing Rolling Pet Ball",Dispatch,1,1,100.0%,90
SI42449,"Charcoal Face Mask,Salicylic acid Oil control,Blackhead Removal",Delivery,1,0,0.0%,90
SI40974,Babydoll Lingerie for Women Front Closure Babydoll Lace Chemise V Neck Mesh Sleepwear,Delivery,1,0,0.0%,90
SI39958,Portable Garment Iron Steamer for Clothes Dry And Wet Mini Handheld Press,Delivery,1,0,0.0%,90
SI40369,Men's Round Neck Printed T Shirt In Polycotton ( Pack of 1 ),Delivery,1,0,0.0%,90
SI40415,Men's Round Neck Printed T Shirt In Polycotton ( Pack of 1 ),Delivery,1,0,0.0%,90
SI40761,Car Seat Back Head Rest Memory Foam Pillow,Delivery,1,0,0.0%,90
SI40963,Sneaker Cleaner Shoe Cleaning Wipes Sneaker Wipes for Shoes Quick Remove Dirt Stain (80 Pcs),Delivery,1,1,100.0%,90
SI38006,Square Oversized Sunglasses for Women Men Fashion Flat Top Big Black Frame Shades,Delivery,1,0,0.0%,90
SI39110,Japanese Anti Wrinkle Cream (Pack of 2),Delivery,1,0,0.0%,90
SI39114,"PU Leather Makeup Bag, Large-Capacity Cosmetic Bag(Color-as per availability)",Delivery,1,0,0.0%,120
SI36701,"Tall Grow Booster Drops, Height Booster Drops, Height Growth Oil (Pack 2)",Delivery,1,0,0.0%,90
