Seller_ID,Product_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,RTO,RTO_%
9487,SilkSmooth™ | Painless Facial & Body Hair Remover,Bluedart LM,58,19.0,32%,0.0,0%
9487,SilkSmooth™ | Painless Facial & Body Hair Remover,Delhivery Surface LM,2,1.0,50%,1.0,50%
9487,SilkSmooth™ | Painless Facial & Body Hair Remover,Ekart SHB - 0.5kg LM,3,1.0,33%,0.0,0%
9523,Hanuman Ji Pendant Oxodaised Silver Chain,Delhivery Surface LM,1,1.0,100%,0.0,0%
9616,"Screen Magnifier 3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming",Bluedart LM,3,1.0,33%,0.0,0%
9616,"Screen Magnifier 3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming",Xpressbees Surface LM,1,0.0,0%,0.0,0%
9638,Portable Mini Keychain Powerbank - C-Type,Ekart SHB - 0.5kg LM,2,0.0,0%,0.0,0%
9638,Portable Mini Keychain Powerbank - C-Type,Xpressbees Surface LM,3,0.0,0%,0.0,0%
9640,PureMist™ Air Humidifier (Pack of 2),Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
9701,PrimeDrops™? Rudraksha & Citrine Crystal Energy Bracelets | Pack of 2,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
9708,CleanMaster™ Multipurpose Foam Spray,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
9708,CleanMaster™ Multipurpose Foam Spray,Xpressbees Surface LM,1,0.0,0%,0.0,0%
9719,24K Antique Gold Plated Balaji Charan - ???? BUY 1 & GET 1 GIFT ITEM FREE ????,Delhivery Surface LM,3,2.0,66%,0.0,0%
9822,Instant Drainage - Buy 1 Get 1 | Blocking Sinks and Pipes - 3x Max Powder | All-Purpose Use,Bluedart Air LM,1,1.0,100%,0.0,0%
9870,Clean Any Surface in Just a Few Seconds!,Delhivery Surface LM,2,1.0,50%,1.0,50%
9870,Clean Any Surface in Just a Few Seconds!,Ekart SHB - 0.5kg LM,30,11.0,36%,0.0,0%
9870,Clean Any Surface in Just a Few Seconds!,Xpressbees Surface LM,2,1.0,50%,0.0,0%
9920,Car Cradle Mobile Phone Holder,Delhivery Surface LM,1,0.0,0%,1.0,100%
9920,Car Cradle Mobile Phone Holder,Ekart STO - 0.5kg LM,11,6.0,54%,0.0,0%
9920,Car Cradle Mobile Phone Holder,Xpressbees Surface LM,2,2.0,100%,0.0,0%
9920,"GlowMax Pro | Ultra-Soft, Finger-Fit Silicone Brush (Pack Of 2)",Bluedart LM,3,2.0,66%,0.0,0%
9920,High Protection Quick Car Coating Spray (Pack of 2),Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
9920,High Protection Quick Car Coating Spray (Pack of 2),Xpressbees Surface LM,1,0.0,0%,0.0,0%
9958,AuraGlow™ - Electric Makeup Brush Cleaner,Ekart SHB - 0.5kg LM,6,3.0,50%,0.0,0%
9976,Apple Watch Ultra 2 + Airpods 2nd Gen. COMBO,Bluedart LM,2,0.0,0%,0.0,0%
9976,Apple Watch Ultra 2 + Airpods 2nd Gen. COMBO,Delhivery Surface LM,1,0.0,0%,0.0,0%
10016,"Screen Magnifier 3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming",Delhivery Surface LM,1,0.0,0%,1.0,100%
10035,EaseWave™ Period Cramps Therapy Device,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
10035,EaseWave™ Period Cramps Therapy Device,Xpressbees Surface LM,1,1.0,100%,0.0,0%
10064,A Gaolin Vintage Branded Polo T-Shirt - WHITE+BLACK+BLUE+BEIGE / s,Bluedart LM,1,0.0,0%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / 4xl,Delhivery Surface LM,2,1.0,50%,1.0,50%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / 5xl,Delhivery Surface LM,5,2.0,40%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / l,Delhivery Surface LM,8,3.0,37%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / m,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / s,Delhivery Surface LM,7,3.0,42%,2.0,28%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / xl,Delhivery Surface LM,7,6.0,85%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / xxl,Delhivery Surface LM,5,1.0,20%,4.0,80%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / xxxl,Delhivery Surface LM,3,0.0,0%,2.0,66%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / 5xl,Bluedart LM,3,1.0,33%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / 5xl,Delhivery Surface LM,2,2.0,100%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / l,Delhivery Surface LM,2,1.0,50%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / m,Bluedart LM,1,1.0,100%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / m,Delhivery Surface LM,3,1.0,33%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / s,Delhivery Surface LM,3,1.0,33%,1.0,33%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xl,Bluedart LM,1,1.0,100%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xl,Delhivery Surface LM,2,1.0,50%,1.0,50%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xxl,Bluedart LM,1,0.0,0%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xxl,Delhivery Surface LM,1,0.0,0%,1.0,100%
