Order_ID,Order_number,User_id,Order_Created_Date,Order_Status,Order_date,Order_Approved_Date,Purchase_Order_Status,Purchase_Order_Created_Date,Purchase_Order_ID,Shipment_Date,AWB,Tracking_Status
6795972,#UNI1012,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159436,rto delivered
6795972,#UNI1012,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159436,rto delivered
6795973,#UNI1013,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159414,rto delivered
6795973,#UNI1013,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159414,rto delivered
6795975,#UNI1014,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,81734510616,delivered
6795975,#UNI1014,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,81734510616,delivered
6795976,#UNI1015,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159392,rto delivered
6795976,#UNI1015,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159392,rto delivered
6795977,#UNI1016,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,81734510594,delivered
6795977,#UNI1016,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,81734510594,delivered
6795978,#UNI1018,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159355,rto delivered
6795978,#UNI1018,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159355,rto delivered
6795979,#UNI1019,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159370,rto delivered
6795979,#UNI1019,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159370,rto delivered
6795981,#UNI1020,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,22679023400693,delivered
6795981,#UNI1020,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,22679023400693,delivered
6795984,#UNI1023,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,81734510535,delivered
6795984,#UNI1023,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,81734510535,delivered
6795985,#UNI1024,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159333,rto delivered
6795985,#UNI1024,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159333,rto delivered
6795986,#UNI1025,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159322,rto delivered
6795986,#UNI1025,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159322,rto delivered
6795987,#UNI1026,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159311,rto delivered
